NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_113625.1,Novispirillum itersonii subsp. nipponicum strain NBRC 13615 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Novispirillum; itersonii; NBRC 13615
NR_116278.1,Novosphingobium acidiphilum strain FSW06-204d 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; acidiphilum; FSW06-204d
NR_118271.1,Novosphingobium aquaticum Glaeser et al. 2013 strain FNE08-86 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; aquaticum; FNE08-86
NR_134104.1,Novosphingobium aquiterrae strain E-II-3 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; aquiterrae; E-II-3
NR_133799.1,Novosphingobium arabidopsis strain CC-ALB-2 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; arabidopsis; CC-ALB-2
NR_074261.1,Novosphingobium aromaticivorans strain DSM 12444 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; aromaticivorans; DSM 12444
NR_112090.1,Novosphingobium aromaticivorans strain IFO 16084 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; aromaticivorans; IFO 16084
NR_118789.1,Novosphingobium aromaticivorans strain SMCC F199 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; aromaticivorans; SMCC F199
NR_118314.1,Novosphingobium barchaimii LL02 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; barchaimii; LL02
NR_153728.1,Novosphingobium bradum strain STM-24 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; bradum; STM-24
NR_025838.1,Novosphingobium capsulatum strain GIFU 11526 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; capsulatum; GIFU 11526
NR_115619.1,Novosphingobium capsulatum strain GIFU11526 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; capsulatum; GIFU11526
NR_113591.1,Novosphingobium capsulatum strain NBRC 12533 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; capsulatum; NBRC 12533
NR_134105.1,Novosphingobium chloroacetimidivorans strain BUT-14 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; chloroacetimidivorans; BUT-14
NR_157981.1,Novosphingobium clariflavum strain CICC11035s 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; clariflavum; CICC11035s
NR_148591.1,Novosphingobium colocasiae strain Teta-03 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; colocasiae; Teta-03
NR_145944.2,Novosphingobium endophyticum strain EGI 60015 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; endophyticum; EGI 60015
NR_152007.1,Novosphingobium flavum strain UCM-28 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; flavum; UCM-28
NR_157667.1,Novosphingobium fontis strain STM-14 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; fontis; STM-14
NR_118270.1,Novosphingobium fuchskuhlense strain FNE08-7 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; fuchskuhlense; FNE08-7
NR_133800.1,Novosphingobium ginsenosidimutans strain FW-6 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; ginsenosidimutans; FW-6
NR_137206.1,Novosphingobium gossypii strain JM-1396 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; gossypii; JM-1396
NR_156104.1,Novosphingobium guangzhouense strain SA925 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; guangzhouense; SA925
NR_028962.1,Novosphingobium hassiacum strain W-51 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; hassiacum; W-51
NR_157799.1,Novosphingobium humi strain R1-4 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; humi; R1-4
NR_044277.1,Novosphingobium indicum strain H25 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; indicum; H25
NR_158051.1,Novosphingobium ipomoeae strain Tese-5 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; ipomoeae; Tese-5
NR_134106.1,Novosphingobium kunmingense strain 18-11HK 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; kunmingense; 18-11HK
NR_042056.1,Novosphingobium lentum NBRC 107847 strain MT1 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; lentum; NBRC 107847 | MT1
NR_118312.1,Novosphingobium lindaniclasticum LE124 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; lindaniclasticum; LE124
NR_152714.1,Novosphingobium lotistagni strain THG-DN6.20 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; lotistagni; THG-DN6.20
NR_126280.1,Novosphingobium malaysiense strain MUSC 273 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; malaysiense; MUSC 273
NR_116020.1,Novosphingobium mathurense strain SM117 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; mathurense; SM117
NR_151934.1,Novosphingobium naphthae strain D39 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; naphthae; D39
NR_114027.1,Novosphingobium naphthalenivorans strain NBRC 102051 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; naphthalenivorans; NBRC 102051
NR_041046.1,Novosphingobium naphthalenivorans strain TUT562 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; naphthalenivorans; TUT562
NR_043857.1,Novosphingobium nitrogenifigens DSM 19370 strain Y88 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; nitrogenifigens; DSM 19370 | Y88
NR_147755.1,Novosphingobium oryzae strain ZYY112 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; oryzae; ZYY112
NR_044210.1,Novosphingobium panipatense strain SM16 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; panipatense; SM16
NR_025248.1,Novosphingobium pentaromativorans US6-1 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; pentaromativorans; US6-1
NR_148770.1,Novosphingobium piscinae strain SLH-16 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; piscinae; SLH-16
NR_149820.1,Novosphingobium pokkalii strain L3E4 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; pokkalii; L3E4
NR_044045.1,Novosphingobium resinovorum strain NCIMB 8767 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; resinovorum; NCIMB 8767
NR_104206.1,Novosphingobium rosa strain NBRC 15208 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; rosa; NBRC 15208
NR_108298.1,Novosphingobium sediminicola strain HU1-AH51 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; sediminicola; HU1-AH51
NR_132667.1,Novosphingobium sediminis strain YG-17 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; sediminis; YG-17
NR_116654.1,Novosphingobium soli strain CC-TPE-1 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; soli; CC-TPE-1
NR_040826.1,Novosphingobium stygium strain IFO 16085 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; stygium; IFO 16085
NR_118791.1,Novosphingobium stygium strain SMCC B0712 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; stygium; SMCC B0712
NR_040827.1,Novosphingobium subterraneum strain IFO 16086 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; subterraneum; IFO 16086
NR_113838.1,Novosphingobium subterraneum strain NBRC 16086 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; subterraneum; NBRC 16086
NR_118790.1,Novosphingobium subterraneum strain SMCC B0478 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; subterraneum; SMCC B0478
NR_042934.1,Novosphingobium taihuense strain T3-B9 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; taihuense; T3-B9
NR_028630.1,Novosphingobium tardaugens strain ARI-1 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; tardaugens; ARI-1
NR_113869.1,Novosphingobium tardaugens strain NBRC 16725 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; tardaugens; NBRC 16725
NR_148313.1,Novosphingobium tardum strain 16-28-2 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; tardum; 16-28-2
NR_148323.1,'Novosphingobium aquaticum' Singh et al. 2015 strain THW-SA1 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Novosphingobium; aquaticum'; THW-SA1
NR_025334.1,Obesumbacterium proteus strain 42 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae; Obesumbacterium; proteus; 42
NR_116603.1,Obesumbacterium proteus strain NCIMB 8771 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae; Obesumbacterium; proteus; NCIMB 8771
NR_151929.1,Oblitimonas alkaliphila strain B4199 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Oblitimonas; alkaliphila; B4199
NR_149220.1,Occidentia massiliensis strain Os18 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Occidentia; massiliensis; Os18
NR_117037.1,Oceanibacterium hippocampi strain BFLP-8 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Sneathiellales; Sneathiellaceae; Oceanibacterium; hippocampi; BFLP-8
NR_044547.1,Oceanibaculum indicum P24 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Oceanibaculum; indicum; P24
NR_159190.1,Oceanibaculum nanhaiense strain L54-1-50 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Oceanibaculum; nanhaiense; L54-1-50
NR_116679.1,Oceanibaculum pacificum strain LMC2up-L3 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Oceanibaculum; pacificum; LMC2up-L3
NR_025456.1,Oceanicaulis alexandrii strain C116-18 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Oceanicaulis; alexandrii; C116-18
NR_108907.1,Oceanicaulis stylophorae strain GISW-4 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Hyphomonadaceae; Oceanicaulis; stylophorae; GISW-4
NR_109312.1,Oceanicella actignis strain CLW 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceanicella; actignis; CLW
NR_118425.1,Oceanicella actignis strain PRQ-67 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceanicella; actignis; PRQ-67
NR_113054.1,Oceanicoccus sagamiensis strain PZ-5 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; Spongiibacteraceae; Oceanicoccus; sagamiensis; PZ-5
NR_027572.1,Oceanicola granulosus strain HTCC2516 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceanicola; granulosus; HTCC2516
NR_115900.1,Oceanicola granulosus strain KCTC12143 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceanicola; granulosus; KCTC12143
NR_118461.1,Oceanicola litoreus strain M-M22 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceanicola; litoreus; M-M22
NR_159234.1,Oceaniglobus indicus strain 1-19b 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceaniglobus; indicus; 1-19b
NR_025027.1,Oceanimonas baumannii strain GB6 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanimonas; baumannii; GB6
NR_114475.1,Oceanimonas doudoroffii strain ATCC 27123 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanimonas; doudoroffii; ATCC 27123
NR_112061.1,Oceanimonas doudoroffii strain ATCC 27123 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanimonas; doudoroffii; ATCC 27123
NR_027198.1,Oceanimonas doudoroffii strain MBIC1298 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanimonas; doudoroffii; MBIC1298
NR_114185.1,Oceanimonas doudoroffii strain NBRC 103032 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanimonas; doudoroffii; NBRC 103032
NR_042963.1,Oceanimonas smirnovii strain 31-13 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanimonas; smirnovii; 31-13
NR_118007.1,Oceaniovalibus guishaninsula JLT2003 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Oceaniovalibus; guishaninsula; JLT2003
NR_042641.1,Oceaniserpentilla haliotis strain DSM 19503 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceaniserpentilla; haliotis; DSM 19503
NR_108470.1,Oceanisphaera arctica strain V1-41 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; arctica; V1-41
NR_043622.1,Oceanisphaera donghaensis strain BL1 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; donghaensis; BL1
NR_025593.1,Oceanisphaera litoralis strain DSM 15406 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; litoralis; DSM 15406
NR_157015.1,Oceanisphaera marina strain YM319 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; marina; YM319
NR_109099.1,Oceanisphaera ostreae strain T-w6 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; ostreae; T-w6
NR_133801.1,Oceanisphaera profunda strain SM1222 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; profunda; SM1222
NR_137213.1,Oceanisphaera psychrotolerans strain LAM-WHM-ZC 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; psychrotolerans; LAM-WHM-ZC
NR_109063.1,Oceanisphaera sediminis strain TW92 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Oceanisphaera; sediminis; TW92
NR_024655.1,Oceanobacter kriegii strain IFO 15467 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanobacter; kriegii; IFO 15467
NR_113758.1,Oceanobacter kriegii strain NBRC 15467 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanobacter; kriegii; NBRC 15467
NR_148583.1,Oceanococcus atlanticus strain 22II-S10r2 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Oceanococcus; atlanticus; 22II-S10r2
NR_040784.1,Oceanospirillum beijerinckii strain IFO 15445 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; beijerinckii; IFO 15445
NR_113754.1,Oceanospirillum beijerinckii strain NBRC 15445 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; beijerinckii; NBRC 15445
NR_112017.1,Oceanospirillum beijerinckii subsp. pelagicum strain IFO 13612 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; beijerinckii; IFO 13612
NR_104714.1,Oceanospirillum linum strain NBRC 15448 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; linum; NBRC 15448
NR_112020.1,Oceanospirillum maris strain ATCC 27509 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; maris; ATCC 27509
NR_112018.1,Oceanospirillum maris subsp. hiroshimense strain IFO 13616 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; maris; IFO 13616
NR_112019.1,Oceanospirillum maris subsp. williamsae strain IFO 15468 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; maris; IFO 15468
NR_024652.1,Oceanospirillum multiglobuliferum strain IFO 13614 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; multiglobuliferum; IFO 13614
NR_113624.1,Oceanospirillum multiglobuliferum strain NBRC 13614 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; multiglobuliferum; NBRC 13614
NR_118264.1,Oceanospirillum nioense strain NIO-S6 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; nioense; NIO-S6
NR_158026.1,Oceanospirillum sanctuarii strain AK56 16S ribosomal RNA,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Oceanospirillum; sanctuarii; AK56
NR_074243.1,Ochrobactrum anthropi ATCC 49188 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; anthropi; ATCC 49188
NR_114979.1,Ochrobactrum anthropi strain LMG 3331 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; anthropi; LMG 3331
NR_113811.1,Ochrobactrum anthropi strain NBRC 15819 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; anthropi; NBRC 15819
NR_115819.1,Ochrobactrum ciceri strain Ca-34 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; ciceri; Ca-34
NR_043184.1,Ochrobactrum cytisi strain ESC1 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; cytisi; ESC1
NR_117262.1,Ochrobactrum daejeonense strain MJ11 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; daejeonense; MJ11
NR_109061.1,Ochrobactrum daejeonense strain MJ11 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; daejeonense; MJ11
NR_146362.2,Ochrobactrum endophyticum strain EGI 60010 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; endophyticum; EGI 60010
NR_025576.1,Ochrobactrum gallinifaecis strain Iso 196 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; gallinifaecis; Iso 196
NR_114149.1,Ochrobactrum grignonense strain NBRC 102586 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; grignonense; NBRC 102586
NR_115044.1,Ochrobactrum grignonense strain OgA9a 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; grignonense; OgA9a
NR_028901.1,Ochrobactrum grignonense strain OgA9a 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; grignonense; OgA9a
NR_042588.1,Ochrobactrum haematophilum strain CCUG 38531 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; haematophilum; CCUG 38531
NR_115045.1,Ochrobactrum intermedium LMG 3301 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; intermedium; LMG 3301
NR_026039.1,Ochrobactrum intermedium LMG 3301 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; intermedium; LMG 3301
NR_042447.1,Ochrobactrum intermedium strain CNS 2-75 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; intermedium; CNS 2-75
NR_113812.1,Ochrobactrum intermedium strain NBRC 15820 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; intermedium; NBRC 15820
NR_042911.1,Ochrobactrum lupini strain LUP21 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; lupini; LUP21
NR_114150.1,Ochrobactrum lupini strain NBRC 102587 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; lupini; NBRC 102587
NR_042417.1,Ochrobactrum oryzae strain MTCC 4195 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; oryzae; MTCC 4195
NR_114151.1,Ochrobactrum oryzae strain NBRC 102588 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; oryzae; NBRC 102588
NR_117053.1,Ochrobactrum pecoris strain 08RB2639 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; pecoris; 08RB2639
NR_115043.1,Ochrobactrum pituitosum strain CCUG 50899 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; pituitosum; CCUG 50899
NR_043756.1,Ochrobactrum pseudintermedium strain ADV31 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; pseudintermedium; ADV31
NR_042589.1,Ochrobactrum pseudogrignonense strain CCUG 30717 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; pseudogrignonense; CCUG 30717
NR_042600.1,Ochrobactrum rhizosphaerae strain PR17 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; rhizosphaerae; PR17
NR_042599.1,Ochrobactrum thiophenivorans strain DSM 7216 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; thiophenivorans; DSM 7216
NR_114148.1,Ochrobactrum tritici strain NBRC 102585 16S ribosomal RNA,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum; tritici; NBRC 102585
